ROOM_ID,LENGTH,WIDTH
Bar 5,34,40
Den 11,38,19
Bedroom 5,39,22
Music Room 10,32,31
Pantry 9,42,9
Laundry Room 12,42,22
Pantry 10,28,33
Keeping Room 6,4,22
Music Room 7,1,24
Spare Room,16,11
Mud Room 14,38,2
Library 8,4,10
Panic Room 12,25,42
Basement 1,18,36
Library 13,20,44
Foyer 11,2,13
Attic,19,48
Office 8,48,49
Den 9,18,29
Bedroom 11,8,23
Guest Bedroom 6,11,46
Powder Room 11,49,29
Panic Room 3,48,26
Bonus Room 13,13,26
Game Room 14,38,22
Guest Bathroom 11,22,7
Utility Room 12,17,24
Secret Room 13,45,29
Dining Room 4,24,4
Game Room 4,19,20
Utility Room 20,18,48
Wine Cellar 12,47,13
Living Room 18,34,32
Closet 17,20,27
Attic 10,29,32
Loft 17,4,8
Nursery 15,42,14
Guest Bedroom 20,46,49
Laundry Room,49,47
Parlor,38,12
Closet 2,5,48
Storage 5,9,3
Powder Room 22,23,36
Game Room 10,38,31
Guest Bedroom 21,37,3
Mud Room 13,15,15
Linen Closet 19,26,16
Attic 12,21,48
Nook 2,13,27
Spare Room 12,48,13
Linen Closet 6,48,15
Basement 19,36,46
Laundry Room 16,30,21
Garage 12,50,44
Panic Room 18,27,36
Foyer 5,20,9
Ballroom 15,45,32
Garage 16,11,9
Laundry Room 1,25,13
Den 17,19,43
Nursery 3,10,32
Spare Room 11,39,38
Dining Room 15,50,27
Closet 1,39,13
Exercise Room 16,35,33
Keeping Room 21,13,19
Parlor 17,24,23
Game Room 6,44,27
Walkway 4,35,11
Library 7,29,5
Powder Room 4,9,22
Exercise Room 18,50,39
Nook 12,38,23
Bathroom 6,1,14
Panic Room 19,5,43
Entryway,26,10
Music Room 21,31,14
Keeping Room 12,44,4
Parlor 23,36,17
Linen Closet 1,8,11
Study 21,1,8
Study 13,43,27
Library 18,5,13
Loft 7,34,21
Breakfast Area 21,41,5
Entryway 11,18,29
Basement 6,29,12
Conservatory 6,26,34
Music Room,39,32
Bathroom 14,47,43
Wine Cellar 7,35,43
Ballroom 14,18,26
Pantry 1,39,46
Powder Room 5,39,28
Secret Room 6,12,35
Nursery 9,20,16
Secret Room 15,10,11
Foyer 19,49,18
Pantry,12,35
Bonus Room 7,32,33
Storage 13,2,41
Linen Closet 15,27,14
Study 9,21,36
Guest Bathroom 18,26,21
Office 12,32,27
Office 17,35,35
Nursery 2,43,36
Panic Room 11,24,29
Storage 11,20,43
Bathroom 3,37,20
Closet 9,19,24
Nursery 20,23,50
Guest Bathroom 16,43,8
Hallway 19,4,20
Nursery 13,15,2
Library 6,35,42
Bathroom 4,22,22
Utility Room 10,15,37
Exercise Room 7,8,50
Linen Closet 11,44,2
Game Room 2,5,9
Sun Room 16,1,14
Storage 1,20,41
Music Room 4,9,43
Storage 12,17,10
Theater 14,23,10
Exercise Room 10,12,36
Parlor 21,5,45
Living Room 8,31,24
Study 5,36,24
Panic Room 2,16,34
Walkway 21,14,23
Secret Room 8,47,27
Mud Room 12,18,27
Mud Room 20,43,47
Pantry 12,47,39
Bar 15,42,14
Pantry 21,48,1
Spare Room 4,2,31
Ballroom 22,11,50
Ballroom 10,32,28
Loft 2,17,8
Pantry 4,43,27
Dining Room 10,2,7
Parlor 8,2,44
Music Room 18,20,6
Nook 1,10,22
Bonus Room 2,33,17
Library 5,23,8
Parlor 3,10,16
Entryway 8,25,35
Theater 20,49,47
Exercise Room 2,37,23
Conservatory 15,47,40
Walk-in Closet 7,15,35
Sun Room 2,7,43
Hallway 13,49,49
Pantry 6,30,28
Bedroom 12,42,6
Game Room 7,29,19
Library 1,43,21
Dining Room 14,9,8
Loft 10,40,41
Hallway 11,27,47
Mud Room 16,41,13
Nook 4,2,26
Walkway 20,27,47
Loft 13,24,15
Sun Room 3,13,6
Loft 5,28,19
Ballroom 1,44,1
Bonus Room 21,4,31
Entryway 9,3,33
Dining Room 21,29,10
Keeping Room 15,29,38
Attic 14,45,50
Hallway 8,15,1
Music Room 1,7,19
Guest Bedroom 13,38,13
Bar 9,35,37
Basement 10,40,48
Foyer,27,42
Ballroom 5,38,18
Linen Closet 17,21,6
Library 14,37,6
Bonus Room 6,19,49
Attic 2,10,1
Hallway 16,39,21
Nook 16,43,12
Guest Bedroom 1,22,8
Den 6,45,32
Theater 2,43,44
Panic Room 5,27,3
Secret Room 12,23,39
Bonus Room 3,27,29
Music Room 13,17,19
Den 15,2,43
Music Room 12,16,43
Mud Room 23,37,3
Den 1,23,14
Guest Bedroom 23,19,43
Nook 7,33,39
Sun Room 9,35,6
Entryway 19,34,40
Library 11,13,16
Laundry Room 14,50,22
Powder Room 17,4,16
Wine Cellar 9,11,25
Keeping Room 11,21,5
Linen Closet 9,1,18
Storage,37,9
Walkway 10,2,25
Dining Room 5,2,25
Basement 18,10,14
Conservatory 9,5,30
Bedroom 13,44,46
Mud Room 7,30,3
Theater 6,7,3
Sun Room 18,6,15
Keeping Room 2,18,47
Wine Cellar 11,40,32
Panic Room 1,14,16
Linen Closet 4,16,9
Powder Room 2,26,4
Dining Room 13,31,50
Mud Room 11,43,8
Exercise Room 6,38,49
Office 21,21,39
Theater 5,12,9
Attic 11,36,23
Exercise Room 5,37,34
Attic 9,49,11
Nook 3,6,32
Walk-in Closet 6,11,2
Foyer 9,16,2
Spare Room 7,38,47
Laundry Room 9,42,12
Pantry 2,16,35
Bonus Room 8,25,50
Exercise Room 17,49,21
Loft 9,40,25
Nook 21,30,46
Sun Room 4,37,15
Guest Bathroom 2,25,30
Living Room 7,36,1
Guest Bathroom 9,20,30
Bonus Room,30,5
Nook 13,34,43
Secret Room 19,38,15
Hallway 7,5,25
Walk-in Closet,43,31
Kitchen 6,49,26
Game Room 5,3,42
Conservatory 5,31,46
Library 16,8,14
Ballroom 6,50,30
Basement 16,10,31
Bedroom 3,49,16
Guest Bedroom,4,24
Parlor 4,15,39
Breakfast Area 3,22,24
Attic 19,47,12
Keeping Room 3,29,37
Kitchen 10,13,43
Bar 2,34,49
Loft 16,31,35
Hallway 2,18,31
Garage 2,35,41
Closet 13,22,42
Foyer 7,15,21
Laundry Room 7,43,3
Powder Room 13,23,46
Entryway 16,16,14
Bathroom 18,29,46
Sun Room 14,21,40
Bonus Room 17,42,29
Pantry 23,21,28
Foyer 22,28,43
Dining Room 2,32,18
Theater 16,10,22
Entryway 4,39,9
Attic 16,43,30
Breakfast Area 4,32,6
Laundry Room 2,41,20
Dining Room,37,29
Spare Room 9,14,4
Bar 7,29,44
Game Room 9,48,41
Office 5,2,11
Guest Bedroom 16,38,25
Bathroom 19,27,29
Nursery 18,41,7
Theater 3,13,36
Music Room 15,15,7
Utility Room 1,18,36
Conservatory 4,27,34
Study 3,14,39
Study 12,11,42
Bathroom 10,17,7
Powder Room 12,37,45
Spare Room 21,3,24
Nook 9,21,27
Parlor 11,37,3
Den 12,46,34
Bar 8,7,38
Office 23,17,3
Pantry 8,42,23
Guest Bedroom 15,44,36
Linen Closet 8,39,22
Game Room,41,36
Guest Bathroom 17,3,6
Kitchen 17,26,7
Mud Room 10,29,8
Nook 22,19,5
Exercise Room 13,26,34
Conservatory,42,25
Music Room 11,48,24
Parlor 5,2,38
Den 14,7,43
Bar 17,28,14
Game Room 8,16,24
Study 19,6,10
Utility Room 22,3,46
Entryway 13,40,15
Garage 1,3,16
Attic 20,23,42
Secret Room,14,3
Wine Cellar 5,34,41
Guest Bathroom 3,34,43
Nursery 16,5,8
Wine Cellar 14,38,7
Kitchen 12,16,47
Game Room 12,37,5
Living Room 2,9,12
Conservatory 13,43,45
Dining Room 20,28,9
Storage 22,13,21
Living Room 3,10,38
Closet 21,3,26
Wine Cellar 2,31,14
Bonus Room 22,37,35
Music Room 9,30,9
Library 15,2,1
Kitchen 3,7,37
Game Room 16,6,15
Bar 21,39,24
Mud Room 19,33,26
Linen Closet 12,35,40
Foyer 3,37,7
Entryway 7,39,32
Music Room 17,29,3
Breakfast Area,12,38
Utility Room 8,10,18
Basement 9,31,48
Sun Room 21,9,43
Loft 6,43,34
Bonus Room 10,3,27
Guest Bathroom 10,18,50
Ballroom 16,41,41
Utility Room 18,6,33
Foyer 14,16,28
Guest Bathroom 4,2,26
Panic Room 15,28,15
Bar 13,18,43
Conservatory 14,41,23
Bathroom 17,2,7
Nook 19,14,16
Guest Bedroom 17,27,11
Powder Room 8,3,21
Walk-in Closet 3,15,46
Game Room 20,39,22
Library 3,43,43
Bathroom 11,24,7
Exercise Room 1,12,38
Bar 3,20,4
Foyer 12,27,31
Bedroom 20,3,7
Garage 17,11,48
Sun Room,25,39
Garage 15,3,33
Entryway 15,30,26
Entryway 22,42,15
Mud Room 18,48,32
Utility Room 17,20,22
Linen Closet 13,9,14
Pantry 16,11,14
Breakfast Area 19,1,33
Utility Room 3,42,22
Attic 7,15,42
Utility Room,14,11
Music Room 5,6,5
Nursery 19,4,36
Ballroom 20,4,15
Exercise Room 19,48,45
Panic Room 20,3,41
Nook 5,23,34
Hallway 1,41,1
Office 4,44,20
Foyer 2,34,4
Theater,20,12
Ballroom 19,5,4
Keeping Room 19,25,37
Living Room 10,16,32
Kitchen 8,47,39
Storage 8,23,48
Exercise Room,41,40
Kitchen 15,20,17
Nook 10,18,46
Powder Room 1,5,36
Keeping Room 9,7,27
Living Room 9,48,41
Garage 13,8,20
Entryway 18,34,34
Library 9,3,15
Nursery 12,31,38
Panic Room 16,43,21
Foyer 6,43,11
Basement 14,47,25
Bonus Room 19,24,29
Den 5,41,13
Laundry Room 21,47,17
Walkway 6,38,28
Living Room 21,3,16
Ballroom 7,11,35
Guest Bathroom 22,32,24
Parlor 7,8,38
Hallway 5,11,8
Sun Room 5,37,12
Keeping Room 7,28,5
Panic Room 4,41,36
Storage 4,28,37
Nook 18,39,46
Closet 7,38,25
Study 6,31,44
Hallway 4,42,10
Bar 22,2,34
Den 4,50,36
Parlor 9,2,49
Conservatory 16,6,8
Foyer 18,19,33
Exercise Room 11,41,5
Walk-in Closet 1,31,10
Office 13,31,3
Secret Room 9,42,7
Nursery 6,9,24
Linen Closet 16,13,27
Guest Bedroom 14,41,34
Utility Room 9,9,13
Secret Room 18,17,21
Theater 11,45,23
Office 7,43,35
Entryway 3,23,37
Closet 3,14,2
Wine Cellar 10,2,6
Exercise Room 8,18,14
Bar 14,1,30
Ballroom 17,28,34
Bathroom 20,44,48
Spare Room 10,32,8
Ballroom 11,35,18
Spare Room 13,25,48
Study 1,3,19
Secret Room 1,28,11
Storage 6,3,16
Conservatory 19,2,13
Linen Closet 20,23,36
Conservatory 17,33,26
Linen Closet 7,39,4
Breakfast Area 14,43,41
Utility Room 15,21,11
Utility Room 19,37,26
Walkway 12,32,12
Garage 8,20,45
Office 18,9,13
Attic 3,29,43
Hallway 20,19,47
Secret Room 24,20,27
Wine Cellar 4,8,45
Breakfast Area 2,5,5
Conservatory 8,14,33
Mud Room 2,2,33
Nursery 8,4,49
Walk-in Closet 14,21,16
Mud Room 5,36,29
Walkway 1,8,6
Powder Room 16,48,12
Game Room 15,9,25
Spare Room 16,44,13
Breakfast Area 6,47,37
Secret Room 14,28,1
Foyer 10,2,10
Dining Room 22,41,18
Entryway 1,7,31
Laundry Room 5,26,35
Bathroom 1,18,11
Nook 6,3,38
Bar 16,33,48
Pantry 20,46,38
Office 16,8,37
Guest Bathroom 7,38,18
Parlor 14,49,46
Study 14,50,14
Study 7,39,23
Garage 10,30,17
Loft 3,41,46
Foyer 17,22,26
Hallway 22,13,24
Office 11,22,16
Utility Room 13,1,11
Entryway 17,8,4
Sun Room 11,45,44
Bar 12,35,33
Guest Bedroom 3,13,13
Wine Cellar 17,2,28
Theater 10,45,42
Mud Room 8,29,5
Guest Bathroom 5,50,15
Bar 1,33,23
Pantry 14,21,31
Powder Room 15,20,41
Ballroom 2,14,18
Bedroom 16,36,21
Sun Room 10,25,11
Utility Room 5,25,46
Storage 16,48,23
Wine Cellar 6,50,30
Basement 17,33,19
Basement 12,4,27
Bathroom 21,43,42
Linen Closet 10,35,32
Guest Bedroom 5,40,19
Hallway 21,27,23
Spare Room 3,12,16
Secret Room 10,22,25
Dining Room 1,9,45
Attic 1,44,36
Dining Room 12,31,14
Office 3,35,8
Theater 18,28,18
Nursery 10,7,17
Bonus Room 16,12,43
Kitchen,17,16
Walkway 11,8,15
Wine Cellar 21,30,20
Basement 3,12,17
Laundry Room 4,41,11
Attic 17,23,2
Living Room 15,42,6
Garage 22,44,38
Utility Room 4,19,49
Panic Room 10,4,33
Bathroom 12,23,46
Storage 7,46,44
Bonus Room 5,37,16
Garage 5,37,11
Garage 18,36,23
Bedroom 4,12,14
Bedroom 9,13,2
Keeping Room 5,3,16
Closet 4,2,11
Bedroom 8,47,2
Sun Room 12,13,1
Library 19,32,50
Entryway 10,47,2
Walkway 22,29,6
Den 7,32,4
Keeping Room 4,5,17
Panic Room 13,17,6
Breakfast Area 10,25,25
Sun Room 17,1,3
Mud Room 15,32,48
Guest Bathroom 14,14,14
Study 10,17,5
Sun Room 7,16,28
Bedroom 7,2,31
Nursery 11,19,30
Walk-in Closet 8,12,34
Bedroom 17,17,49
Kitchen 16,41,45
Breakfast Area 20,4,23
Foyer 13,7,19
Theater 12,47,11
Garage 4,6,35
Theater 1,45,43
Nursery 5,1,23
Linen Closet,23,29
Closet 15,22,10
Theater 7,33,27
Guest Bedroom 7,16,17
Wine Cellar 18,22,26
Pantry 17,5,18
Conservatory 10,30,43
Powder Room 20,43,40
Dining Room 7,10,2
Walkway,24,21
Closet 20,18,39
Sun Room 1,28,22
Bedroom 10,12,34
Hallway 3,5,22
Music Room 8,26,47
Attic 4,27,9
Bonus Room 18,46,23
Bedroom 23,14,1
Game Room 17,4,6
Music Room 6,1,50
Hallway 9,39,32
Entryway 21,19,28
Conservatory 7,46,14
Bathroom,30,44
Parlor 18,44,23
Parlor 15,46,8
Spare Room 6,24,6
Sun Room 23,38,29
Powder Room 7,5,35
Bar 4,37,23
Ballroom 12,47,17
Kitchen 5,28,42
Den 20,21,48
Laundry Room 13,22,15
Walkway 13,29,34
Secret Room 17,32,38
Dining Room 19,30,24
Panic Room 17,13,32
Utility Room 2,45,49
Breakfast Area 17,6,40
Attic 21,6,18
Breakfast Area 1,50,21
Wine Cellar 16,26,28
Theater 15,20,9
Mud Room 6,2,28
Game Room 19,39,2
Bonus Room 20,25,25
Game Room 21,48,11
Hallway 17,31,19
Library 10,9,46
Storage 2,16,4
Breakfast Area 8,15,30
Hallway 15,36,10
Secret Room 20,40,41
Mud Room 17,1,2
Breakfast Area 7,33,14
Linen Closet 18,32,15
Keeping Room 18,1,3
Laundry Room 10,47,19
Basement 21,4,25
Basement 15,23,21
Kitchen 13,35,7
Utility Room 16,44,46
Conservatory 21,45,29
Music Room 19,9,42
Garage,47,7
Office 20,9,1
Living Room 6,46,23
Theater 4,18,15
Theater 19,47,41
Bathroom 5,48,12
Library 20,28,43
Exercise Room 12,44,20
Attic 6,45,22
Kitchen 9,13,13
Loft 12,25,24
Bonus Room 14,14,42
Spare Room 17,35,26
Guest Bedroom 19,42,46
Entryway 12,39,19
Closet 14,25,18
Secret Room 11,4,38
Secret Room 22,33,30
Panic Room,23,16
Living Room 20,12,9
Bathroom 7,39,32
Bedroom 14,29,2
Study 16,32,2
Secret Room 4,28,17
Laundry Room 17,13,13
Kitchen 11,44,26
Pantry 18,1,35
Ballroom,13,26
Theater 9,48,18
Storage 14,49,33
Study 22,24,27
Attic 13,42,4
Attic 22,39,41
Bar 20,29,38
Panic Room 8,35,23
Spare Room 14,14,23
Exercise Room 9,46,18
Closet 10,44,37
Wine Cellar 1,25,3
Ballroom 4,47,41
Bar 6,3,31
Walk-in Closet 15,20,26
Powder Room 19,28,24
Den,24,50
Parlor 13,4,35
Bathroom 15,50,9
Dining Room 18,7,20
Exercise Room 21,25,47
Keeping Room 1,41,5
Exercise Room 14,19,29
Kitchen 20,37,46
Game Room 13,32,37
Secret Room 21,12,45
Powder Room 6,40,2
Bar 19,43,14
Bar,20,3
Conservatory 11,46,46
Laundry Room 6,46,11
Storage 9,8,7
Linen Closet 2,26,25
Powder Room 18,11,38
Living Room 14,4,48
Storage 18,26,30
Pantry 11,45,19
Ballroom 3,17,7
Panic Room 7,12,45
Guest Bathroom 19,50,48
Keeping Room 17,32,32
Garage 21,13,17
Mud Room 4,49,29
Nook 8,47,30
Ballroom 13,45,29
Guest Bathroom 1,9,5
Walkway 2,24,25
Garage 7,33,6
Keeping Room 8,24,17
Dining Room 3,31,32
Walkway 16,31,11
Game Room 3,3,46
Game Room 18,49,36
Exercise Room 4,33,44
Office 19,8,11
Bonus Room 11,2,18
Utility Room 14,29,20
Storage 21,42,16
Bedroom 19,43,11
Kitchen 1,9,47
Walkway 8,3,45
Bar 11,42,21
Guest Bathroom 13,48,15
Living Room 1,3,37
Basement 8,6,21
Bonus Room 12,27,30
Garage 11,8,10
Closet,34,18
Bedroom 15,47,27
Den 8,29,36
Conservatory 20,12,46
Closet 16,15,26
Game Room 1,29,47
Loft 15,31,45
Guest Bedroom 9,9,44
Den 19,12,31
Walk-in Closet 11,18,39
Living Room 16,2,28
Dining Room 17,10,16
Exercise Room 3,34,42
Study 2,16,36
Bedroom 6,32,48
Guest Bathroom 12,10,10
Walk-in Closet 4,18,25
Guest Bedroom 8,8,11
Library 12,29,11
Office 14,49,49
Mud Room 3,1,37
Theater 13,39,50
Secret Room 16,24,33
Living Room 12,6,5
Walk-in Closet 10,50,27
Storage 20,29,30
Mud Room 9,45,45
Foyer 8,40,25
Pantry 7,17,11
Basement 11,35,2
Walk-in Closet 19,26,31
Closet 18,30,29
Secret Room 5,23,40
Breakfast Area 16,9,46
Dining Room 11,34,33
Basement 4,23,43
Walkway 14,50,10
Kitchen 18,26,11
Closet 5,27,3
Laundry Room 8,2,24
Nursery,18,32
Attic 8,41,50
Music Room 14,8,19
Den 18,33,24
Study 18,39,20
Garage 3,47,5
Walk-in Closet 17,34,18
Nook 20,2,49
Bathroom 16,26,35
Study 15,24,2
Closet 19,5,13
Guest Bedroom 2,23,18
Garage 6,29,23
Linen Closet 14,18,48
Conservatory 1,36,19
Keeping Room,37,2
Walkway 5,29,50
Hallway 14,6,17
Study 17,12,17
Laundry Room 15,35,46
Guest Bedroom 4,35,16
Guest Bathroom 20,17,30
Utility Room 6,31,25
Bonus Room 9,2,29
Living Room 17,12,9
Basement,15,26
Parlor 20,39,17
Hallway 6,45,18
Secret Room 3,29,21
Pantry 19,40,12
Loft 14,34,42
Ballroom 8,8,50
Study 20,14,35
Closet 12,27,42
Attic 18,35,26
Nursery 14,43,48
Parlor 2,42,42
Theater 8,4,28
Parlor 6,33,35
Entryway 14,38,31
Powder Room 14,50,29
Spare Room 20,33,9
Den 3,10,43
Bedroom 2,30,2
Laundry Room 18,47,15
Study,17,25
Nursery 7,10,37
Dining Room 8,21,7
Utility Room 11,1,13
Attic 5,30,33
Theater 17,28,2
Foyer 16,6,2
Panic Room 22,28,32
Basement 20,7,13
Mud Room,3,29
Spare Room 19,15,6
Office 10,16,23
Bonus Room 4,47,21
Breakfast Area 12,14,41
Spare Room 2,11,40
Den 16,20,35
Bedroom,29,38
Linen Closet 3,31,10
Breakfast Area 11,47,27
Study 4,30,20
Walk-in Closet 18,14,21
Laundry Room 3,24,24
Walk-in Closet 20,32,7
Powder Room,3,2
Bathroom 9,30,39
Pantry 15,14,50
Mud Room 1,2,1
Bathroom 2,22,31
Wine Cellar,39,11
Conservatory 18,41,48
Music Room 16,36,21
Laundry Room 20,39,27
Wine Cellar 3,40,40
Den 10,38,22
Walkway 7,44,43
Bedroom 1,13,1
Foyer 1,28,17
Basement 7,34,12
Nook,34,46
Panic Room 6,41,29
Loft 1,50,32
Parlor 12,38,38
Living Room 13,39,27
Office,34,36
Linen Closet 5,46,41
Entryway 5,1,7
Entryway 2,18,50
Utility Room 7,38,15
Panic Room 14,25,10
Loft 11,42,9
Breakfast Area 5,47,6
Nook 11,46,30
Storage 15,2,22
Garage 14,28,20
Mud Room 21,34,27
Library 4,48,29
Living Room 11,45,20
Walkway 15,18,28
Bathroom 13,23,48
Walk-in Closet 2,4,10
Walk-in Closet 9,43,20
Den 13,34,46
Foyer 20,24,47
Living Room 4,30,11
Garage 20,37,15
Laundry Room 19,18,29
Guest Bedroom 22,28,19
Loft 8,16,30
Study 11,22,33
Bathroom 8,47,42
Kitchen 14,43,15
Ballroom 9,49,49
Walkway 3,22,1
Pantry 13,33,46
Music Room 20,14,18
Walk-in Closet 5,6,1
Panic Room 9,46,32
Guest Bathroom,36,5
Living Room 5,23,7
Game Room 11,21,29
Walkway 19,4,40
Guest Bathroom 6,39,23
Nook 15,30,28
Bar 10,38,5
Garage 19,7,48
Powder Room 9,23,15
Exercise Room 20,1,33
Walk-in Closet 21,48,39
Pantry 5,41,25
Walk-in Closet 16,38,2
Spare Room 5,3,6
Nursery 17,29,49
Guest Bedroom 10,25,36
Nursery 4,20,18
Living Room 19,19,16
Loft 22,14,19
Breakfast Area 13,28,47
Spare Room 1,16,40
Loft 4,49,34
Closet 8,8,45
Conservatory 12,49,31
Conservatory 2,47,12
Spare Room 8,35,48
