ROOM_ID,LENGTH,WIDTH
Powder Room 265,44,7
Linen Closet 115,17,47
Bar 156,1,26
Walk-in Closet 185,18,19
Loft 213,21,20
Storage 33,25,36
Exercise Room 15,25,38
Kitchen 340,30,50
Utility Room 100,15,32
Secret Room 24,48,14
Dining Room 321,48,2
Wine Cellar 12,25,15
Kitchen,15,45
Exercise Room 100,6,5
Music Room 183,45,30
Secret Room 289,17,5
Walk-in Closet 99,24,45
Office 3,6,21
Attic 294,44,5
Utility Room 14,47,10
Laundry Room 331,33,38
Ballroom 70,47,1
Library 18,26,35
Breakfast Area 138,33,41
Conservatory 241,44,7
Nook 336,33,9
Basement 270,19,27
Pantry 55,5,29
Storage 212,34,34
Wine Cellar 243,32,24
Conservatory 338,1,47
Ballroom 322,8,31
Breakfast Area 57,34,16
Hallway 241,8,32
Closet 234,22,48
Exercise Room 259,12,5
Music Room 145,2,37
Ballroom 274,37,44
Basement 308,23,45
Foyer 317,9,44
Wine Cellar 26,34,37
Dining Room 237,15,16
Secret Room 150,26,6
Garage 222,11,9
Kitchen 224,37,24
Nursery 230,10,43
Loft 5,45,33
Pantry 43,35,31
Bonus Room 281,34,46
Hallway 92,12,1
Loft 194,43,3
Hallway 176,44,42
Basement 262,24,21
Den 36,45,23
Attic 68,9,10
Breakfast Area 128,37,8
Nursery 169,25,1
Utility Room 159,1,41
Guest Bedroom 279,23,7
Walkway 212,24,28
Laundry Room 172,34,37
Wine Cellar 19,8,46
Theater 113,44,14
Keeping Room 243,11,23
Walk-in Closet 194,12,22
Bathroom 150,12,27
Laundry Room 307,14,7
Office 298,40,21
Spare Room 311,27,23
Laundry Room 195,32,22
Guest Bedroom 301,27,3
Nursery 72,6,30
Breakfast Area 123,4,24
Guest Bedroom 95,33,26
Garage 15,3,2
Kitchen 27,33,11
Entryway 149,28,21
Bar 179,8,20
Conservatory 280,39,7
Nook 281,9,37
Utility Room 328,1,32
Hallway 309,43,9
Loft 247,4,15
Mud Room 135,22,14
Bathroom 33,7,36
Theater 207,1,13
Sun Room 111,7,44
Den 118,1,35
Den 314,40,29
Bonus Room 189,37,5
Music Room 72,12,21
Exercise Room 312,1,9
Panic Room 3,31,12
Storage 99,16,45
Bar 45,40,22
Theater 262,15,40
Office 351,33,2
Game Room 126,35,38
Study 299,22,15
Loft 198,13,29
Bonus Room 243,20,31
Office 185,37,30
Secret Room 286,18,49
Sun Room 204,3,22
Storage 56,24,39
Bar 264,20,12
Bonus Room 292,31,41
Panic Room 120,28,39
Guest Bedroom 102,11,31
Closet 191,10,25
Hallway 114,24,2
Closet 199,22,21
Panic Room 47,19,20
Guest Bedroom 187,41,22
Breakfast Area 130,28,17
Nook 303,45,2
Guest Bedroom 316,1,44
Pantry 317,37,47
Garage 68,47,46
Mud Room 130,37,40
Garage 291,43,6
Library 104,2,26
Mud Room 99,40,43
Theater 212,17,3
Laundry Room 220,17,44
Utility Room 2,9,44
Walkway 347,37,32
Ballroom 138,8,44
Sun Room 157,47,7
Wine Cellar 327,42,43
Den 308,27,14
Exercise Room 207,27,27
Basement 10,6,11
Wine Cellar 323,5,3
Wine Cellar 70,18,46
Office 92,44,47
Living Room 129,3,9
Walk-in Closet 179,18,15
Game Room 312,10,20
Attic 151,11,42
Linen Closet 64,42,18
Mud Room 190,13,43
Laundry Room 160,47,7
Basement 223,28,40
Bar 108,13,8
Spare Room 350,32,11
Library 17,46,22
Office 304,49,30
Dining Room 217,17,5
Game Room 17,25,20
Music Room 230,36,3
Ballroom 338,29,24
Foyer 257,18,39
Mud Room 335,36,49
Panic Room 339,45,37
Conservatory 233,48,6
Basement 48,11,11
Powder Room 182,31,14
Exercise Room 198,3,14
Keeping Room 215,19,16
Study 229,45,7
Garage 230,39,14
Parlor 349,11,45
Guest Bathroom 203,34,39
Game Room 36,23,27
Panic Room 272,14,39
Parlor 346,36,36
Parlor 52,1,5
Bar 159,24,2
Ballroom 19,29,27
Bar 126,40,23
Foyer 220,9,19
Kitchen 289,37,3
Walkway 23,17,12
Spare Room 232,8,40
Sun Room 242,38,34
Nursery 150,19,10
Mud Room 247,21,13
Storage 285,23,4
Attic 284,12,48
Linen Closet 308,44,13
Breakfast Area 336,35,27
Spare Room 213,29,14
Nook 260,35,3
Spare Room 164,34,27
Garage 278,11,49
Linen Closet 57,35,46
Bedroom 7,4,50
Keeping Room 204,16,28
Walk-in Closet 212,35,34
Kitchen 227,30,16
Linen Closet 25,43,3
Theater 322,32,7
Basement 297,46,24
Living Room 323,12,37
Secret Room 208,13,38
Mud Room 5,27,46
Bedroom 228,26,16
Powder Room 67,42,30
Laundry Room 30,49,29
Guest Bedroom 318,28,24
Attic 161,12,1
Guest Bathroom 283,2,9
Walk-in Closet 124,17,26
Conservatory 19,13,36
Panic Room 72,10,18
Ballroom 332,32,39
Nook 183,48,19
Bathroom 119,42,31
Bedroom 248,37,41
Secret Room 79,29,44
Pantry 261,27,21
Dining Room 184,23,49
Guest Bathroom 357,29,17
Bar 343,8,36
Study 293,46,28
Loft 325,6,41
Entryway 156,5,4
Basement 217,8,42
Breakfast Area 37,43,2
Library 142,9,10
Keeping Room 42,41,10
Bonus Room 354,50,10
Secret Room 239,26,13
Walk-in Closet 35,27,20
Bar 198,10,46
Walk-in Closet 160,17,16
Breakfast Area 170,22,16
Music Room 160,28,37
Secret Room 315,1,22
Nursery 354,4,22
Mud Room 230,50,28
Conservatory 176,47,36
Pantry 27,49,30
Foyer 263,16,17
Living Room 17,20,28
Panic Room 279,49,50
Game Room 316,40,18
Parlor 184,46,40
Spare Room 136,17,24
Spare Room 207,34,6
Bedroom 294,39,6
Parlor 283,12,35
Spare Room 321,9,40
Attic 256,10,17
Foyer 256,29,19
Utility Room 236,8,20
Bonus Room 313,1,16
Parlor 64,16,43
Nook 141,15,49
Powder Room 5,38,5
Conservatory 89,26,18
Kitchen 295,20,47
Garage 144,10,48
Secret Room 66,19,1
Den 162,7,45
Walk-in Closet 6,42,33
Kitchen 155,19,1
Laundry Room 155,31,45
Study 157,17,16
Living Room 195,32,40
Bedroom 270,14,18
Basement 287,23,49
Powder Room 169,3,49
Bedroom 341,1,33
Den 84,43,29
Panic Room 275,2,13
Sun Room 337,33,33
Guest Bedroom 26,20,21
Pantry 240,43,39
Laundry Room 312,50,3
Foyer 47,8,43
Utility Room 41,27,45
Theater 236,5,33
Closet 125,21,50
Closet 335,40,43
Breakfast Area 49,37,25
Office 259,24,15
Bedroom 171,50,15
Kitchen 82,16,41
Laundry Room 319,5,23
Bar 144,19,40
Living Room 116,35,48
Nursery 188,44,39
Keeping Room 351,24,6
Walk-in Closet 3,18,34
Walkway 220,16,5
Bar 34,35,28
Library 46,22,27
Basement 133,34,16
Theater 30,43,15
Secret Room 352,39,34
Foyer 280,23,22
Parlor 98,44,32
Linen Closet 172,41,16
Breakfast Area 200,6,25
Study 153,7,47
Bathroom 12,5,45
Bedroom 195,16,8
Bedroom 227,7,38
Walkway 100,22,11
Panic Room 207,19,44
Guest Bathroom 222,27,3
Hallway 248,13,14
Theater 54,25,32
Breakfast Area 206,47,17
Theater 311,18,36
Sun Room 210,27,10
Theater 200,11,28
Walkway 303,12,22
Exercise Room 260,26,41
Laundry Room 332,23,22
Powder Room 8,35,18
Exercise Room 169,9,42
Study 236,29,13
Dining Room 236,34,50
Music Room 180,17,24
Bedroom 321,15,39
Kitchen 216,11,45
Walkway 88,49,40
Closet 208,20,17
Den 32,3,10
Den 126,3,8
Ballroom 170,19,47
Nook 335,14,47
Attic 86,36,11
Keeping Room 147,21,5
Guest Bathroom 21,43,33
Exercise Room 109,24,42
Bathroom 26,18,43
Conservatory 327,39,7
Hallway 341,9,32
Dining Room 91,23,17
Hallway 187,37,24
Sun Room 42,33,3
Secret Room 113,17,9
Office 228,34,20
Garage 234,23,26
Mud Room 27,49,24
Storage 12,17,7
Basement 269,11,13
Office 176,49,29
Entryway 78,17,31
Laundry Room 243,11,27
Secret Room 163,45,19
Loft 55,33,11
Entryway 126,28,31
Walkway 121,14,28
Wine Cellar 218,27,32
Laundry Room 188,26,45
Breakfast Area 261,2,31
Keeping Room 30,47,4
Wine Cellar 202,10,27
Kitchen 321,10,29
Secret Room 63,13,47
Sun Room 330,46,32
Utility Room 65,15,40
Loft 35,5,20
Library 27,36,8
Walk-in Closet 181,30,2
Ballroom 317,33,8
Music Room 182,24,27
Dining Room 168,36,12
Ballroom 195,33,21
Theater 78,4,13
Powder Room 193,10,45
Loft 175,6,39
Basement 312,28,20
Laundry Room 186,6,26
Mud Room 345,18,33
Nursery 190,33,24
Theater 89,7,3
Pantry 272,44,26
Kitchen 172,40,11
Parlor 155,10,47
Secret Room 261,21,16
Guest Bathroom 102,41,7
Garage 265,28,49
Game Room 306,42,44
Secret Room 131,32,9
Secret Room 336,1,40
Exercise Room 68,38,47
Guest Bedroom 151,23,15
Guest Bedroom 1,9,26
Sun Room 219,27,19
Guest Bathroom 172,1,16
Guest Bathroom 302,40,47
Attic 317,26,23
Library 11,49,27
Theater 335,39,44
Guest Bathroom 126,9,29
Bathroom 88,9,13
Music Room 299,45,14
Conservatory 243,8,11
Den 79,45,31
Den 329,37,29
Ballroom 242,18,42
Entryway 54,9,35
Utility Room 211,24,26
Exercise Room 32,35,9
Entryway 7,27,18
Kitchen 22,30,36
Bar 333,29,3
Nursery 314,28,6
Keeping Room 221,10,25
Dining Room 349,47,25
Bedroom 172,41,26
Dining Room 25,36,33
Storage 188,41,2
Hallway 288,17,4
Bathroom 339,39,13
Foyer 36,15,10
Game Room 137,45,4
Linen Closet 2,15,43
Garage 69,45,4
Nursery 13,34,28
Bathroom 253,26,41
Wine Cellar 255,29,4
Guest Bathroom 269,10,27
Music Room 268,12,6
Bar 138,32,2
Nook 146,2,43
Hallway 83,9,21
Dining Room 341,27,35
Panic Room 51,5,14
Parlor 226,21,43
Attic 238,20,21
Library 286,44,44
Garage 119,24,23
Laundry Room 273,13,25
Guest Bathroom 303,43,18
Secret Room 350,39,32
Storage 132,42,5
Laundry Room 176,38,39
Living Room 163,2,27
Guest Bedroom 7,42,1
Linen Closet 175,38,18
Foyer 276,22,44
Basement 288,49,27
Theater 132,11,38
Guest Bedroom 17,41,9
Bedroom 243,17,32
Attic 293,33,8
Office 297,30,25
Bonus Room 336,4,22
Conservatory 181,38,23
Spare Room 348,10,43
Loft 136,23,32
Ballroom 355,46,23
Exercise Room 279,9,3
Library 22,38,27
Entryway 106,11,31
Office 5,39,24
Hallway 203,32,48
Study 84,38,22
Bonus Room 65,21,12
Nursery 243,25,21
Bathroom 61,1,44
Laundry Room 123,27,37
Basement 119,2,25
Utility Room 240,15,33
Storage 261,23,10
Library 296,21,31
Utility Room 7,11,30
Bedroom 277,36,39
Conservatory 110,3,46
Keeping Room 330,10,14
Bonus Room 299,23,27
Powder Room 233,2,20
Closet 269,20,16
Walkway 317,21,20
Laundry Room 127,28,46
Pantry 140,18,45
Loft 216,7,28
Walkway 110,39,13
Parlor 281,29,48
Powder Room 345,48,7
Kitchen 229,45,18
Bedroom 34,22,45
Wine Cellar 291,11,22
Parlor 299,25,2
Kitchen 134,11,34
Sun Room 88,11,45
Breakfast Area 235,39,32
Game Room 270,15,49
Hallway 95,40,10
Exercise Room 274,27,11
Ballroom 230,5,13
Guest Bathroom 329,38,19
Nursery 141,34,39
Dining Room 339,36,29
Bar 61,30,49
Storage 275,20,45
Sun Room 212,12,29
Keeping Room 139,8,29
Attic 259,6,22
Basement 323,5,9
Guest Bathroom 274,44,49
Loft 48,31,17
Breakfast Area 67,47,31
Parlor 83,37,10
Pantry 11,50,33
Music Room 281,4,32
Linen Closet 167,36,30
Walk-in Closet 333,36,50
Storage 16,31,1
Study 136,36,5
Living Room 35,23,26
Linen Closet 37,35,14
Library 25,30,36
Dining Room 49,38,39
Entryway 172,34,24
Basement 257,40,13
Loft 297,16,16
Garage 171,38,18
Music Room 356,34,29
Guest Bedroom 73,5,10
Hallway 15,22,23
Parlor 55,27,24
Walk-in Closet 51,34,41
Bedroom 129,20,1
Office 328,22,23
Bedroom 74,8,1
Basement 228,33,17
Utility Room 19,39,2
Linen Closet 50,3,43
Library 137,19,27
Office 237,26,10
Music Room 224,7,14
Conservatory 194,40,5
Loft 308,40,4
Music Room 261,18,43
Ballroom 267,15,10
Game Room 342,16,49
Guest Bathroom 202,8,9
Garage 46,49,29
Keeping Room 135,22,19
Powder Room 341,24,3
Utility Room 31,28,3
Guest Bedroom 133,31,32
Exercise Room 180,40,36
Utility Room 145,41,44
Mud Room 83,38,30
Storage 266,48,23
Closet 193,12,3
Secret Room 334,8,11
Conservatory 116,36,34
Conservatory 31,1,37
Secret Room 96,47,38
Panic Room 98,2,46
Wine Cellar 350,32,18
Attic 49,1,48
Study 112,36,40
Secret Room 134,29,9
Linen Closet 125,40,17
Closet 15,42,47
Music Room 335,28,5
Bar 344,37,49
Kitchen 319,11,29
Guest Bedroom 208,30,32
Nook 9,15,48
Secret Room 82,20,1
Keeping Room 56,33,23
Storage 282,43,40
Breakfast Area 319,13,14
Game Room 337,38,41
Laundry Room 115,8,6
Keeping Room 261,24,17
Pantry 133,21,41
Walkway 8,49,18
Powder Room 321,2,19
Parlor 315,14,41
Laundry Room 266,43,19
Hallway 290,31,19
Storage 300,25,7
Theater 298,37,46
Study 19,8,41
Guest Bathroom 312,27,25
Entryway 77,42,19
Walk-in Closet 54,24,47
Closet 141,2,31
Utility Room 154,48,15
Music Room 264,9,37
Keeping Room 339,30,1
Powder Room 288,11,46
Pantry 315,19,37
Sun Room 230,24,5
Bonus Room 293,15,33
Nook 77,11,35
Guest Bedroom 219,38,14
Garage 340,18,42
Music Room 188,11,19
Closet 168,24,30
Ballroom 52,1,26
Theater 252,26,38
Music Room 296,6,44
Nursery 47,18,48
Bar 27,40,6
Conservatory 68,26,28
Walk-in Closet 144,40,35
Den 183,38,30
Library 298,37,29
Pantry 70,20,50
Linen Closet 293,35,50
Library 285,38,18
Bar 102,34,13
Mud Room 316,15,22
Bonus Room 130,49,22
Bedroom 290,28,3
Walkway 14,16,17
Hallway 49,23,40
Game Room 6,33,50
Laundry Room 60,8,7
Library 82,2,6
Linen Closet 143,27,21
Nook 32,29,17
Bedroom 210,39,35
Garage 215,45,41
Game Room 26,43,22
Exercise Room 21,22,42
Laundry Room 224,31,16
Pantry 192,8,26
Utility Room 204,31,48
Loft 127,1,43
Walkway 215,4,12
Pantry 127,19,3
Den 97,27,15
Bonus Room 105,32,1
Pantry 118,37,7
Entryway 19,16,31
Linen Closet 11,13,42
Walkway 94,50,28
Den 322,23,47
Library 183,38,9
Nursery 224,33,20
Dining Room 294,35,23
Keeping Room 357,37,6
Wine Cellar 160,34,2
Foyer 345,18,29
Theater 100,19,36
Bathroom 201,39,42
Keeping Room 223,22,27
Loft 266,34,48
Sun Room 268,12,2
Storage 335,25,35
Bar 214,18,34
Conservatory 49,29,29
Storage 336,37,1
Nook 18,42,48
Office 147,12,36
Parlor 239,18,34
Exercise Room 245,16,45
Mud Room 36,46,42
Keeping Room 2,49,21
Mud Room 75,2,4
Secret Room 269,10,23
Living Room 34,37,32
Theater 6,20,46
Study 196,37,6
Keeping Room 195,7,12
Theater 19,34,19
Bathroom 211,41,30
Basement 136,33,38
Theater 136,3,44
Laundry Room 100,24,45
Utility Room 209,24,17
Entryway 60,29,30
Kitchen 223,38,41
Keeping Room 183,22,46
Storage 95,28,13
Pantry 155,10,11
Guest Bedroom 92,31,36
Storage 208,3,42
Entryway 233,41,15
Game Room 218,4,37
Study 221,27,13
Guest Bedroom 110,18,34
Bonus Room 28,7,35
Keeping Room 197,33,13
Bathroom 242,17,30
Nook 350,20,23
Office 73,38,13
Linen Closet 153,11,47
Dining Room 314,16,40
Nook 293,9,1
Kitchen 34,26,17
Pantry 72,19,29
Music Room 270,50,3
Bedroom 118,29,38
Walk-in Closet 93,42,7
Powder Room 172,21,6
Bathroom 124,7,5
Den 180,41,34
Foyer 140,26,24
Music Room 236,39,19
Hallway 284,25,31
Bathroom 21,48,23
Secret Room 104,40,19
Spare Room 5,42,21
Kitchen 18,23,43
Secret Room 282,21,43
Loft 122,50,20
Foyer 163,49,21
Entryway 337,6,9
Bathroom 191,46,24
Keeping Room 168,6,50
Kitchen 133,48,42
Pantry 113,15,46
Guest Bedroom 310,37,4
Powder Room 335,2,18
Garage 75,14,17
Walkway 253,27,5
Bonus Room 98,33,44
Theater 125,7,26
Mud Room 351,12,13
Study 339,27,23
Laundry Room 105,44,45
Foyer 24,16,18
Breakfast Area 33,45,22
Living Room 189,39,2
Wine Cellar 184,2,26
Closet 89,10,26
Nursery 157,43,26
Breakfast Area 297,49,9
Ballroom 43,31,41
Breakfast Area 316,17,31
Secret Room 37,42,10
Pantry 331,10,29
Conservatory 217,38,40
Theater 180,32,45
Pantry 98,22,23
Basement 84,44,21
Conservatory 258,8,45
Parlor 69,47,39
Bedroom 31,30,49
Walkway 339,42,8
Secret Room 198,20,31
Laundry Room 90,48,21
Mud Room 154,4,25
Library 243,29,23
Conservatory 260,6,11
Ballroom 275,30,25
Laundry Room 275,31,42
Kitchen 278,23,45
Sun Room 281,8,16
Den 295,9,20
Kitchen 39,4,48
Guest Bedroom 276,15,4
Attic 290,1,15
Linen Closet 227,11,40
