ROOM_ID,LENGTH,WIDTH
Basement 1237,14,46
Laundry Room 366,24,12
Conservatory 1268,29,48
Parlor 1310,37,12
Parlor 590,36,5
Walk-in Closet 13,1,32
Mud Room 779,18,30
Game Room 717,44,46
Powder Room 932,1,36
Den 209,16,16
Living Room 939,23,19
Laundry Room 362,3,24
Nursery 596,47,7
Garage 1171,31,31
Dining Room 264,24,41
Linen Closet 889,46,38
Closet 953,5,5
Office 1247,23,12
Linen Closet 741,5,28
Attic 773,23,50
Living Room 1348,34,29
Bedroom 1407,23,33
Panic Room 729,50,8
Laundry Room 146,30,43
Spare Room 719,12,21
Ballroom 121,2,15
Living Room 1279,45,41
Study 850,49,35
Conservatory 1056,5,25
Library 193,15,7
Garage 290,1,17
Nursery 158,44,4
Parlor 689,20,19
Closet 151,48,40
Basement 920,28,13
Secret Room 1106,46,33
Game Room 595,19,36
Wine Cellar 527,14,10
Dining Room 1,11,10
Secret Room 529,33,15
Storage 814,16,5
Parlor 1420,37,18
Keeping Room 961,15,12
Loft 1006,8,29
Guest Bathroom 441,9,17
Wine Cellar 602,36,44
Storage 29,5,37
Laundry Room 385,35,3
Mud Room 817,11,17
Foyer 1305,23,18
Bonus Room 561,7,43
Ballroom 1241,41,14
Kitchen 230,37,34
Guest Bathroom 252,9,36
Utility Room 1073,17,36
Spare Room 646,36,7
Closet 970,22,7
Living Room 998,25,33
Ballroom 16,3,32
Living Room 189,8,35
Powder Room 369,6,10
Storage 81,29,5
Breakfast Area 961,28,37
Office 988,25,6
Conservatory 1339,10,35
Entryway 1008,47,12
Wine Cellar 769,30,26
Walk-in Closet 485,20,39
Study 1005,39,4
Basement 612,4,2
Game Room 263,30,1
Powder Room 597,15,39
Den 393,37,20
Game Room 1012,37,10
Nook 392,7,29
Study 298,3,8
Guest Bathroom 1234,43,8
Panic Room 137,50,4
Exercise Room 139,18,14
Exercise Room 766,32,44
Conservatory 279,35,10
Nook 608,12,21
Sun Room 589,28,23
Walk-in Closet 677,6,4
Storage 55,44,34
Walkway 1151,41,28
Garage 1153,15,2
Game Room 826,29,4
Library 62,35,10
Music Room 171,34,5
Powder Room 791,24,27
Linen Closet 894,34,2
Nursery 722,42,18
Utility Room 1153,39,20
Office 1213,3,47
Utility Room 1300,40,22
Sun Room 933,14,22
Conservatory 974,46,1
Garage 544,39,45
Conservatory 940,47,38
Office 1193,47,5
Panic Room 1047,24,40
Nursery 987,8,21
Guest Bedroom 423,1,43
Mud Room 647,17,32
Parlor 392,42,32
Nook 138,22,25
Bonus Room 1409,18,23
Guest Bedroom 371,49,13
Den 683,37,6
Kitchen 362,44,11
Loft 626,15,28
Breakfast Area 1180,10,22
Nook 493,37,19
Nursery 143,11,31
Theater 1323,28,8
Keeping Room 1335,1,3
Nursery 283,29,21
Walkway 469,24,37
Sun Room 1178,39,37
Keeping Room 168,30,24
Storage 797,28,48
Secret Room 1054,23,4
Office 504,6,31
Bonus Room 1120,34,43
Conservatory 779,19,49
Living Room 1173,49,16
Basement 165,37,14
Kitchen 500,31,24
Ballroom 1357,25,42
Bonus Room 518,13,31
Game Room 1148,11,27
Game Room 27,34,48
Mud Room 1393,26,12
Hallway 1332,30,29
Mud Room 914,32,10
Spare Room 1008,16,28
Bathroom 180,14,47
Parlor 870,21,2
Parlor 261,5,23
Utility Room 1181,11,21
Guest Bedroom 1188,16,27
Study 1389,30,44
Linen Closet 715,32,42
Walk-in Closet 81,2,43
Guest Bathroom 850,9,5
Guest Bedroom 315,3,38
Parlor 385,6,41
Walk-in Closet 426,39,32
Laundry Room 980,15,43
Secret Room 1238,27,43
Office 928,12,29
Secret Room 833,25,34
Theater 149,42,24
Bathroom 789,26,24
Powder Room 205,8,23
Living Room 911,20,23
Guest Bedroom 893,36,46
Nook 1012,33,25
Office 1051,21,4
Office 633,25,43
Pantry 130,27,15
Mud Room 1285,50,38
Walk-in Closet 682,39,15
Spare Room 812,5,40
Game Room 1085,19,31
Nook 1370,36,20
Foyer 221,19,2
Sun Room 893,41,26
Pantry 666,26,11
Foyer 538,29,1
Closet 1388,28,38
Kitchen 397,47,6
Wine Cellar 528,30,42
Theater 277,44,23
Kitchen 872,42,1
Basement 511,34,49
Bar 1404,16,40
Music Room 1178,2,30
Wine Cellar 463,12,2
Walkway 1172,4,47
Keeping Room 1195,49,9
Bathroom 1169,2,40
Hallway 980,13,8
Breakfast Area 413,18,46
Utility Room 506,1,36
Attic 137,37,31
Kitchen 902,6,40
Basement 120,5,41
Closet 867,43,47
Linen Closet 823,12,4
Kitchen 796,19,50
Study 1045,1,47
Library 1174,21,16
Living Room 668,33,1
Study 1153,46,4
Pantry 100,15,32
Guest Bathroom 1116,19,39
Loft 1256,1,14
Theater 1424,26,15
Exercise Room 876,29,21
Game Room 196,48,6
Closet 935,33,25
Pantry 106,31,2
Theater 1358,38,17
Basement 995,33,41
Linen Closet 1120,10,27
Study 409,19,47
Bar 392,46,12
Walkway 1066,7,43
Dining Room 1363,6,25
Panic Room 844,17,24
Linen Closet 972,43,21
Closet 756,43,30
Breakfast Area 343,1,20
Laundry Room 492,46,5
Library 469,32,49
Linen Closet 1113,11,42
Attic 1388,43,36
Bathroom 658,14,43
Laundry Room 600,4,8
Office 1043,1,45
Spare Room 158,37,7
Powder Room 201,23,37
Mud Room 752,46,19
Hallway 305,7,4
Mud Room 585,46,10
Bedroom 370,45,42
Foyer 806,2,8
Ballroom 890,9,2
Bonus Room 1220,25,35
Den 61,47,2
Loft 452,43,13
Secret Room 302,6,3
Storage 605,36,44
Sun Room 139,30,50
Storage 409,8,33
Bedroom 254,11,16
Ballroom 603,31,8
Secret Room 1402,17,9
Panic Room 683,22,9
Wine Cellar 1141,8,9
Mud Room 245,43,8
Walkway 1334,19,3
Bedroom 497,2,36
Bar 422,4,15
Wine Cellar 668,8,31
Music Room 992,6,19
Linen Closet 1099,2,26
Basement 1361,3,50
Music Room 800,20,20
Storage 682,14,29
Kitchen 1056,17,35
Exercise Room 1385,44,21
Parlor 979,5,21
Bonus Room 1269,16,15
Laundry Room 440,50,2
Ballroom 76,45,12
Nursery 212,2,27
Spare Room 982,31,48
Panic Room 63,31,30
Study 975,21,36
Conservatory 270,17,11
Pantry 270,47,6
Foyer 268,43,27
Attic 864,10,47
Conservatory 461,4,23
Storage 654,15,49
Spare Room 52,5,35
Walk-in Closet 551,47,5
Study 485,2,11
Laundry Room 499,2,33
Closet 858,32,49
Entryway 370,47,15
Office 854,30,20
Parlor 364,7,30
Den 389,36,26
Entryway 959,29,11
Panic Room 1050,46,50
Library 1299,11,50
Wine Cellar 189,4,1
Parlor 266,25,1
Sun Room 327,5,31
Spare Room 49,37,38
Conservatory 1192,31,28
Linen Closet 145,20,39
Walk-in Closet 1358,27,35
Den 181,30,26
Nook 44,5,27
Sun Room 1375,30,3
Attic 1301,22,17
Pantry 881,22,29
Conservatory 85,30,29
Storage 794,45,42
Linen Closet 1366,17,21
Spare Room 139,40,30
Secret Room 1083,41,11
Office 413,46,47
Exercise Room 945,11,22
Laundry Room 1082,39,31
Game Room 200,46,21
Study 704,34,41
Office 1008,13,43
Sun Room 879,38,9
Spare Room 630,3,47
Nursery 901,30,11
Office 1145,29,48
Foyer 1392,46,14
Utility Room 279,4,41
Sun Room 683,45,15
Den 1297,41,21
Spare Room 435,12,26
Hallway 507,42,42
Mud Room 1063,50,42
Storage 764,40,8
Loft 866,40,20
Linen Closet 225,27,44
Office 546,19,50
Library 813,14,2
Exercise Room 1402,33,23
Sun Room 1230,36,4
Conservatory 449,50,11
Attic 601,10,30
Library 949,8,16
Garage 314,50,44
Secret Room 823,3,25
Basement 782,21,47
Garage 587,19,32
Bedroom 1105,1,41
Basement 283,27,32
Living Room 212,6,14
Game Room 911,25,37
Bar 1298,45,50
Powder Room 303,32,3
Exercise Room 482,20,6
Storage 1305,15,49
Linen Closet 1382,27,10
Loft 882,27,38
Breakfast Area 688,5,1
Guest Bedroom 37,44,5
Walkway 212,25,45
Keeping Room 103,47,19
Linen Closet 504,41,50
Parlor 1322,3,30
Keeping Room 473,37,33
Den 1389,44,3
Conservatory 691,7,37
Secret Room 586,39,36
Foyer 741,29,40
Pantry 1207,50,5
Secret Room 597,44,17
Walk-in Closet 3,10,28
Guest Bedroom 1054,36,7
Exercise Room 845,9,45
Linen Closet 1343,10,19
Spare Room 305,43,47
Keeping Room 1318,32,18
Powder Room 826,41,29
Walk-in Closet 387,35,18
Office 243,45,28
Hallway 883,42,23
Spare Room 861,43,36
Guest Bathroom 224,10,44
Guest Bedroom 718,19,46
Entryway 1099,1,44
Pantry 96,44,40
Loft 166,49,3
Theater 517,14,15
Walkway 1019,6,41
Powder Room 1172,19,50
Nook 821,22,36
Wine Cellar 499,35,12
Exercise Room 762,6,42
Study 742,30,32
Pantry 410,10,47
Library 544,15,36
Study 700,8,16
Bar 385,7,7
Sun Room 999,49,15
Bonus Room 354,28,39
Parlor 1011,12,37
Panic Room 1213,36,14
Mud Room 158,47,42
Hallway 501,7,47
Attic 1108,15,47
Library 1143,16,36
Guest Bedroom 1397,30,43
Closet 510,20,47
Bonus Room 210,31,38
Guest Bathroom 1049,1,1
Attic 542,40,4
Exercise Room 630,1,10
Game Room 1418,38,32
Breakfast Area 1131,50,20
Theater 1361,22,25
Exercise Room 392,44,39
Hallway 577,32,21
Game Room 378,1,5
Basement 797,45,45
Dining Room 735,27,20
Bonus Room 167,11,48
Hallway 669,45,42
Attic 751,31,44
Wine Cellar 1215,27,25
Powder Room 116,4,29
Nursery 989,19,38
Closet 73,22,3
Bathroom 14,8,15
Spare Room 182,12,36
Closet 119,50,21
Garage 739,36,7
Secret Room 1229,7,37
Bathroom 497,36,25
Bedroom 1336,41,28
Kitchen 1050,2,23
Mud Room 758,25,43
Bathroom 1159,46,41
Den 180,37,40
Bar 131,33,46
Bonus Room 1315,1,4
Linen Closet 863,9,3
Kitchen 484,41,38
Nook 1041,20,22
Theater 318,2,26
Nursery 853,10,42
Entryway 91,49,22
Wine Cellar 376,19,30
Sun Room 576,24,15
Hallway 146,30,39
Bonus Room 955,41,48
Hallway 39,23,39
Sun Room 1155,25,12
Bathroom 1226,19,42
Study 1227,13,48
Library 828,32,21
Linen Closet 1234,26,33
Game Room 1297,5,5
Storage 66,47,36
Dining Room 758,22,37
Panic Room 724,25,26
Conservatory 423,23,48
Sun Room 274,43,13
Sun Room 1063,28,38
Guest Bathroom 1315,43,15
Den 539,20,16
Conservatory 785,1,43
Laundry Room 1338,46,45
Attic 404,6,27
Powder Room 709,37,8
Dining Room 183,16,36
Utility Room 119,16,8
Exercise Room 894,1,26
Attic 517,31,12
Garage 403,32,29
Basement 147,50,12
Utility Room 1239,45,6
Parlor 1273,25,23
Utility Room 524,33,26
Bar 57,10,1
Pantry 1320,39,38
Ballroom 472,15,27
Walkway 120,12,24
Exercise Room 1040,17,5
Game Room 630,3,28
Walk-in Closet 497,18,5
Kitchen 755,29,28
Breakfast Area 1326,33,30
Sun Room 1391,19,44
Walkway 695,41,27
Basement 1407,25,20
Breakfast Area 1024,46,21
Attic 397,19,45
Library 271,21,40
Loft 296,5,20
Parlor 224,36,7
Game Room 1226,31,11
Parlor 163,42,33
Bonus Room 589,42,21
Bonus Room 1295,36,24
Den 267,46,25
Theater 237,32,19
Living Room 350,24,48
Loft 678,40,5
Linen Closet 451,27,6
Keeping Room 899,47,29
Closet 1047,48,32
Study 1397,35,15
Study 1395,18,18
Keeping Room 1051,29,18
Keeping Room 3,9,44
Linen Closet 116,10,16
Closet 107,45,23
Attic 813,23,5
Laundry Room 1300,32,1
Spare Room 1368,31,45
Loft 1192,4,13
Bedroom 854,46,33
Bar 235,50,20
Pantry 625,44,48
Wine Cellar 22,5,30
Theater 391,36,48
Theater 901,12,4
Garage 772,9,38
Nook 232,40,1
Bonus Room 1371,19,31
Walk-in Closet 482,40,30
Laundry Room 511,19,39
Game Room 287,23,37
Parlor 241,33,2
Game Room 338,48,31
Pantry 526,50,47
Guest Bedroom 507,39,9
Walk-in Closet 550,4,11
Kitchen 318,33,12
Linen Closet 121,27,2
Wine Cellar 246,37,30
Loft 125,36,38
Hallway 651,47,24
Guest Bedroom 1131,28,41
Bonus Room 483,8,12
Parlor 653,23,45
Spare Room 1402,6,28
Living Room 1324,5,32
Exercise Room 1376,25,11
Nursery 697,13,30
Guest Bedroom 569,2,13
Entryway 1012,15,16
Living Room 1063,12,18
Bedroom 1358,6,4
Linen Closet 873,8,12
Laundry Room 554,33,9
Guest Bedroom 898,39,8
Nook 753,5,24
Keeping Room 679,30,34
Game Room 787,27,20
Exercise Room 1129,44,26
Basement 191,48,16
Library 117,34,26
Living Room 9,34,28
Den 610,44,10
Keeping Room 1365,22,26
Hallway 1296,26,42
Breakfast Area 1135,46,3
Spare Room 1386,12,49
Mud Room 455,42,4
Conservatory 66,27,50
Kitchen 1150,28,4
Kitchen 1368,50,48
Laundry Room 1164,12,33
Closet 565,34,36
Utility Room 1334,45,20
Walk-in Closet 733,48,2
Game Room 1046,7,13
Laundry Room 1034,7,37
Nook 1231,34,41
Garage 1383,13,36
Breakfast Area 1257,29,9
Powder Room 846,46,49
Pantry 1339,39,5
Secret Room 1113,6,21
Breakfast Area 995,30,22
Nook 1284,22,38
Breakfast Area 1381,30,3
Guest Bedroom 1365,42,24
Exercise Room 135,2,22
Secret Room 368,15,40
Guest Bedroom 1310,7,40
Game Room 1088,2,28
Game Room 559,2,18
Spare Room 405,13,12
Ballroom 662,48,31
Foyer 517,37,47
Den 235,19,3
Storage 1178,28,13
Ballroom 434,1,21
Exercise Room 1223,30,36
Library 558,41,25
Walkway 462,35,35
Foyer 721,8,44
Storage 1087,1,31
Laundry Room 85,29,41
Linen Closet 867,10,31
Den 1303,48,45
Exercise Room 141,19,18
Utility Room 51,1,48
Conservatory 143,33,31
Bathroom 1367,20,5
Sun Room 559,28,40
Closet 788,28,32
Garage 437,14,48
Laundry Room 607,17,32
Living Room 204,36,30
Entryway 1026,19,38
Nursery 446,41,34
Ballroom 518,47,34
Sun Room 208,41,3
Office 285,46,1
Wine Cellar 81,39,28
Kitchen 914,4,32
Den 517,22,34
Entryway 1153,25,35
Nook 760,29,5
Game Room 1050,48,5
Spare Room 315,11,30
Mud Room 109,44,46
Hallway 1105,2,31
Panic Room 1221,2,20
Laundry Room 428,33,4
Bathroom 395,34,17
Utility Room 346,11,24
Bedroom 151,16,43
Living Room 295,15,46
Closet 1189,22,41
Loft 1260,23,42
Dining Room 272,46,6
Closet 957,30,41
Pantry 1167,44,1
Storage 601,4,41
Panic Room 537,33,42
Study 689,24,25
Secret Room 864,43,44
Breakfast Area 438,35,34
Den 867,38,3
Theater 594,15,20
Conservatory 45,22,10
Sun Room 230,1,42
Game Room 348,20,35
Powder Room 278,26,33
Utility Room 323,4,48
Keeping Room 295,27,34
Mud Room 1412,11,5
Sun Room 648,34,6
Library 417,46,41
Game Room 481,10,6
Ballroom 766,26,29
Walkway 255,2,39
Bedroom 945,26,33
Attic 165,45,41
Attic 1199,44,36
Walk-in Closet 231,22,43
Loft 1292,26,2
Linen Closet 871,32,26
Conservatory 39,44,43
Game Room 958,24,24
Study 561,19,22
Walk-in Closet 223,50,1
Basement 345,2,15
Mud Room 103,21,47
Exercise Room 869,17,1
Laundry Room 689,24,41
Pantry 1300,16,2
Dining Room 864,19,34
Nook 267,17,50
Walk-in Closet 1150,36,3
Mud Room 430,33,20
Spare Room 369,15,47
Ballroom 640,22,43
Theater 837,45,11
Nursery 1277,29,4
Walk-in Closet 834,25,14
Office 205,22,11
Laundry Room 293,22,25
Wine Cellar 374,41,42
Sun Room 1130,13,10
Basement 1072,28,42
Basement 1182,32,13
Conservatory 937,22,2
Music Room 267,5,6
Closet 228,8,25
Theater 1394,16,2
Keeping Room 1289,38,44
Dining Room 301,31,5
Office 692,20,49
Nook 454,5,2
Guest Bedroom 421,41,13
Guest Bedroom 418,17,45
Game Room 1355,33,5
Conservatory 273,28,32
Secret Room 746,9,43
Guest Bedroom 305,28,40
Parlor 527,18,9
Bonus Room 747,22,10
Wine Cellar 138,6,47
Bathroom 769,35,49
Guest Bathroom 646,23,6
Utility Room 43,33,31
Exercise Room 122,10,23
Walk-in Closet 291,17,28
Music Room 45,9,28
Guest Bedroom 1323,49,38
Den 954,43,46
Secret Room 1076,16,33
Mud Room 1183,3,12
Foyer 1326,47,9
Closet 729,6,36
Nursery 1184,46,34
Powder Room 1375,36,18
Living Room 863,20,42
Powder Room 990,22,1
Theater 47,3,3
Laundry Room 1183,11,20
Theater 875,49,45
Den 361,46,28
Powder Room 314,25,25
Music Room 1224,33,24
Guest Bathroom 785,2,24
Conservatory 1333,6,28
Laundry Room 1409,14,43
Spare Room 776,29,7
Loft 219,5,8
Theater 979,31,11
Secret Room 1243,2,32
Powder Room 88,16,23
Bonus Room 1354,22,41
Walkway 73,47,5
Foyer 750,41,48
Guest Bedroom 1021,30,34
Guest Bathroom 1416,28,8
Library 1103,3,20
Laundry Room 1342,19,47
Secret Room 1011,28,3
Walkway 585,20,29
Walkway 487,45,15
Bonus Room 1368,25,2
Closet 237,36,27
Game Room 893,23,9
Secret Room 595,48,36
Basement 462,2,2
Storage 894,1,25
Guest Bathroom 488,5,9
Closet 370,39,13
Nook 1010,48,46
Bedroom 282,31,8
Mud Room 578,12,3
Mud Room 1205,49,35
Mud Room 400,28,48
Storage 619,17,1
Bedroom 448,11,22
Sun Room 1290,28,32
Wine Cellar 594,13,5
Pantry 223,43,14
Basement 32,32,44
Ballroom 907,37,40
Pantry 1247,8,45
Laundry Room 523,4,34
Living Room 1055,25,43
Bar 876,21,25
Utility Room 1064,26,50
Parlor 608,22,42
Dining Room 1179,19,20
Music Room 103,30,5
Closet 254,3,3
Storage 1082,21,34
Wine Cellar 1359,31,23
Game Room 1349,40,11
Study 99,18,6
Dining Room 411,13,19
Exercise Room 932,3,5
Closet 1283,3,32
Loft 803,9,48
Walkway 260,18,17
Sun Room 1103,2,45
Music Room 509,35,26
Keeping Room 979,14,48
Powder Room 808,33,28
Nursery 462,50,19
Entryway 563,32,8
Attic 609,46,4
Nook 13,9,27
Utility Room 1285,38,4
Den 1229,47,11
Pantry 911,4,23
Library 916,49,24
Sun Room 403,44,14
Music Room 112,25,48
Breakfast Area 57,9,46
Guest Bedroom 908,31,9
Bathroom 1126,9,43
Utility Room 55,24,50
Linen Closet 454,9,32
Sun Room 1369,29,35
Parlor 858,6,23
Library 772,16,1
Bonus Room 1203,37,40
Ballroom 1260,22,20
Exercise Room 1409,30,28
Bathroom 998,12,16
Library 652,50,20
Nursery 364,14,41
Dining Room 358,16,28
Walkway 912,30,33
Music Room 473,23,20
Bathroom 1374,6,22
Attic 590,30,18
Living Room 97,10,39
Foyer 830,46,22
Secret Room 758,40,45
Guest Bedroom 72,50,6
Linen Closet 994,33,23
Laundry Room 1323,29,20
Dining Room 801,2,18
Dining Room 1292,15,40
Walk-in Closet 940,33,6
Closet 505,45,9
Parlor 1005,38,1
Mud Room 279,6,46
Foyer 1221,3,19
Guest Bathroom 490,4,26
Pantry 1078,28,24
Keeping Room 594,10,8
Entryway 1326,8,37
Office 833,31,25
Library 1154,12,13
Living Room 887,50,44
Ballroom 1180,30,46
Living Room 946,48,20
Office 364,39,21
Parlor 258,41,30
Basement 880,35,17
Bar 632,19,27
Powder Room 528,13,18
Loft 728,19,29
Closet 987,10,5
Garage 324,50,10
Breakfast Area 906,38,9
Storage 535,22,7
Walkway 872,43,32
Parlor 994,10,1
Guest Bathroom 80,1,23
Entryway 180,2,5
Walkway 568,30,41
Walk-in Closet 290,10,44
Walkway 849,22,18
Basement 945,4,14
Wine Cellar 1392,35,11
Garage 57,19,44
Parlor 1328,21,23
Powder Room 544,45,6
Nursery 69,23,31
Walkway 1221,36,11
Loft 904,33,29
Closet 410,30,23
Secret Room 72,3,29
Office 887,5,44
Ballroom 311,11,43
Parlor 752,40,7
Exercise Room 692,42,8
Guest Bedroom 1204,9,7
Basement 947,11,30
Entryway 660,37,27
Storage 1424,44,49
Loft 488,23,9
Linen Closet 474,42,30
Study 394,44,38
Exercise Room 704,43,50
Secret Room 498,43,14
Secret Room 542,35,49
Pantry 769,16,3
Spare Room 580,41,46
Library 1113,8,4
Keeping Room 633,45,45
Guest Bedroom 631,21,20
Bathroom 1423,3,11
Study 1154,34,46
Linen Closet 1097,45,27
Linen Closet 802,17,19
Attic 532,18,16
Exercise Room 999,5,34
Walkway 514,46,36
Breakfast Area 91,48,9
Library 480,35,5
Keeping Room 171,30,5
Attic 1134,7,35
Linen Closet 51,10,28
Conservatory 1360,6,28
Nook 539,8,2
Loft 1273,18,14
Keeping Room 407,15,33
Parlor 172,37,19
Breakfast Area 223,15,35
Bedroom 1333,23,31
Theater 1306,25,32
Attic 497,22,8
Spare Room 18,1,47
Nursery 39,21,44
Guest Bedroom 951,25,5
Sun Room 1406,18,3
Secret Room 690,10,27
Walkway 929,24,19
Kitchen 26,32,32
Theater 494,45,49
Kitchen 606,26,42
Spare Room 886,6,22
Nook 415,31,14
Foyer 839,21,27
Den 29,19,23
Laundry Room 1014,27,7
Nook 943,40,49
Guest Bathroom 540,42,43
Bonus Room 724,25,35
Breakfast Area 375,9,4
Parlor 269,16,15
Storage 759,25,4
Dining Room 1042,37,27
Study 437,12,35
Powder Room 1144,34,25
Entryway 1070,18,34
Mud Room 1185,34,27
Nook 1047,37,3
Panic Room 314,45,4
Bonus Room 1034,13,27
Study 1071,1,19
Kitchen 1138,44,33
Utility Room 1187,8,3
Garage 1415,20,43
Living Room 900,48,23
Wine Cellar 1329,49,36
Ballroom 669,4,37
Foyer 828,33,33
Powder Room 40,48,34
Library 389,50,10
Parlor 960,30,44
Basement 173,40,7
Pantry 726,27,10
Utility Room 647,20,24
Secret Room 1206,11,18
Hallway 1364,6,22
Foyer 393,6,49
Utility Room 219,43,3
Keeping Room 444,16,28
Panic Room 187,28,38
Bedroom 852,21,22
Spare Room 352,13,49
Game Room 800,7,29
Nook 834,18,20
Ballroom 691,33,1
Dining Room 300,10,23
Guest Bathroom 513,50,33
Nursery 1014,6,39
Guest Bedroom 1039,4,27
Hallway 1363,30,11
Hallway 226,7,15
Guest Bathroom 840,43,20
Walk-in Closet 48,20,24
Nook 953,3,4
Garage 1180,2,15
Walk-in Closet 255,29,18
Entryway 923,36,11
Loft 1136,17,37
Sun Room 397,39,32
Hallway 466,23,12
Keeping Room 110,24,34
Basement 578,23,25
Guest Bathroom 717,46,37
Utility Room 972,42,8
Keeping Room 1373,27,11
Library 1386,21,6
Bar 959,22,9
Powder Room 1064,28,15
Entryway 547,39,20
Bedroom 382,47,4
Kitchen 711,49,33
Keeping Room 85,45,23
Music Room 1171,30,13
Guest Bathroom 1115,18,30
Breakfast Area 1005,12,19
Attic 975,17,45
Loft 700,12,41
Library 1254,42,31
Office 707,7,26
Keeping Room 1374,19,22
Office 1402,13,25
Guest Bathroom 7,50,17
Utility Room 675,20,31
Bonus Room 1184,25,7
Keeping Room 617,38,47
Mud Room 1347,9,21
Laundry Room 15,17,31
Entryway 957,37,33
Linen Closet 1402,28,37
Breakfast Area 546,45,17
Nursery 713,31,25
Utility Room 621,47,34
Nursery 470,21,46
Panic Room 737,25,7
Conservatory 354,39,6
Exercise Room 917,25,22
Loft 757,48,37
Living Room 390,17,15
Pantry 1131,14,3
Sun Room 493,25,21
Hallway 1281,36,25
Ballroom 263,43,16
Bonus Room 1302,37,46
Walk-in Closet 867,6,11
Bedroom 812,40,2
Spare Room 1091,8,30
Panic Room 601,12,32
Wine Cellar 1011,6,43
Loft 918,42,43
Bonus Room 736,21,27
Game Room 451,20,8
Music Room 242,36,9
Guest Bathroom 1363,23,41
Walkway 1256,5,4
Walkway 731,4,50
Exercise Room 273,38,48
Wine Cellar 866,37,49
Walk-in Closet 1105,22,25
Utility Room 991,11,1
